,Area,Room,Year,Flat_floor,Total_floor,Price_eur,Price_m2,City
0,65.0,3,1980,4,9,86000,1323,Vilnius
1,38.4,2,1977,4,5,59000,1536,Vilnius
2,63.0,2,2011,4,5,79000,1254,Klaipeda
3,87.0,3,1930,2,3,179000,2057,Klaipeda
4,52.0,2,1993,5,5,55000,1058,Klaipeda
5,77.8,3,1989,5,5,72000,925,Klaipeda
6,70.0,3,2008,2,5,110000,1571,Klaipeda
7,120.0,3,1957,5,5,130000,1083,Klaipeda
8,44.0,2,1998,9,9,43000,977,Klaipeda
10,50.0,2,1973,8,9,47000,940,Klaipeda
11,55.0,2,1988,1,9,66500,1209,Klaipeda
13,100.0,3,2021,1,2,240000,2400,Regionas
14,36.0,2,1910,2,3,55000,1528,Klaipeda
16,45.0,2,1970,5,5,55000,1222,Klaipeda
17,61.4,3,2020,2,2,147000,2394,Regionas
18,46.0,2,1930,3,4,94900,2063,Klaipeda
19,56.0,2,2008,2,5,91500,1634,Klaipeda
20,145.0,4,1917,3,4,149000,1028,Klaipeda
21,89.0,4,1993,9,10,60000,674,Klaipeda
22,170.0,4,1908,3,3,159000,935,Klaipeda
24,52.0,2,1978,9,9,51900,998,Siauliai
25,49.34,2,1984,1,9,106000,2148,Vilnius
26,210.0,5,1996,4,6,550000,2619,Vilnius
27,66.0,2,2007,6,7,128000,1939,Vilnius
28,62.89,3,2015,5,6,125000,1988,Vilnius
29,70.0,3,2019,4,4,219500,3136,Vilnius
30,65.0,3,1980,4,9,86000,1323,Vilnius
31,38.4,2,1977,4,5,59000,1536,Vilnius
32,63.0,2,2011,4,5,79000,1254,Klaipeda
33,87.0,3,1930,2,3,179000,2057,Klaipeda
34,52.0,2,1993,5,5,55000,1058,Klaipeda
35,77.8,3,1989,5,5,72000,925,Klaipeda
36,70.0,3,2008,2,5,110000,1571,Klaipeda
37,120.0,3,1957,5,5,130000,1083,Klaipeda
38,44.0,2,1998,9,9,43000,977,Klaipeda
40,50.0,2,1973,8,9,47000,940,Klaipeda
41,55.0,2,1988,1,9,66500,1209,Klaipeda
43,100.0,3,2021,1,2,240000,2400,Regionas
44,36.0,2,1910,2,3,55000,1528,Klaipeda
46,45.0,2,1970,5,5,55000,1222,Klaipeda
47,61.4,3,2020,2,2,147000,2394,Regionas
48,46.0,2,1930,3,4,94900,2063,Klaipeda
49,56.0,2,2008,2,5,91500,1634,Klaipeda
50,145.0,4,1917,3,4,149000,1028,Klaipeda
51,89.0,4,1993,9,10,60000,674,Klaipeda
52,170.0,4,1908,3,3,159000,935,Klaipeda
54,52.0,2,1978,9,9,51900,998,Siauliai
55,49.34,2,1984,1,9,106000,2148,Vilnius
56,210.0,5,1996,4,6,550000,2619,Vilnius
57,66.0,2,2007,6,7,128000,1939,Vilnius
58,62.89,3,2015,5,6,125000,1988,Vilnius
59,70.0,3,2019,4,4,219500,3136,Vilnius
60,33.21,2,2019,1,4,74500,2243,Vilnius
61,66.0,2,1987,5,5,64000,970,Klaipeda
62,58.78,3,1940,2,2,62000,1055,Vilnius
64,30.0,1,1978,8,9,30000,1000,Klaipeda
65,40.5,2,2020,4,5,66000,1630,Vilnius
66,44.0,1,1989,5,5,40000,909,Klaipeda
67,54.0,2,1988,1,9,66500,1231,Klaipeda
68,66.0,3,2020,1,1,60000,909,Vilnius
69,76.0,3,2019,3,5,122000,1605,Vilnius
70,51.0,2,2019,3,5,83000,1627,Vilnius
71,32.0,1,2019,3,5,54000,1688,Vilnius
72,26.0,1,2019,1,3,54000,2077,Vilnius
73,28.76,1,1966,4,5,55000,1912,Vilnius
74,64.9,3,1976,1,3,90000,1387,Vilnius
75,37.0,1,1957,2,3,67770,1832,Klaipeda
77,94.32,3,1958,3,4,110000,1166,Siauliai
78,64.0,2,2008,7,20,100000,1563,Klaipeda
79,16.0,1,1989,1,5,20800,1300,Klaipeda
80,64.0,2,2014,4,4,240000,3750,Klaipeda
81,16.0,1,1968,1,3,20000,1250,Klaipeda
82,28.0,1,1969,4,5,39000,1393,Klaipeda
83,42.0,2,1988,5,5,33000,786,Klaipeda
84,59.49,3,2020,7,7,65300,1098,Regionas
85,30.0,1,1972,4,5,45000,1500,Klaipeda
86,43.44,2,2020,3,4,162500,3741,Vilnius
87,51.0,3,1964,3,4,55000,1078,Klaipeda
88,51.55,2,2003,3,5,115000,2231,Vilnius
89,74.0,4,1964,2,3,60000,811,Regionas
90,30.0,1,1990,2,5,58000,1933,Klaipeda
92,29.0,1,1971,3,5,26500,914,Siauliai
93,36.98,2,1987,5,6,49900,1349,Vilnius
94,52.58,3,1990,2,2,93000,1769,Klaipeda
95,54.0,2,1989,1,4,55000,1019,Palanga
96,36.35,1,2019,2,4,89999,2476,Klaipeda
97,44.0,1,1990,3,9,49000,1114,Klaipeda
98,62.0,3,1965,1,2,88000,1419,Regionas
99,49.5,2,2020,1,4,95000,1919,Klaipeda
100,36.9,1,1975,9,13,70000,1897,Klaipeda
101,90.0,2,2017,2,2,107000,1189,Klaipeda
102,55.2,2,1972,3,5,76000,1377,Vilnius
104,54.53,2,1988,1,9,66500,1220,Klaipeda
105,76.0,3,2014,1,4,185000,2434,Vilnius
107,102.0,5,2008,3,3,135000,1324,Regionas
108,78.0,3,2011,3,4,114000,1462,Klaipeda
109,33.0,1,1969,3,5,73900,2239,Vilnius
110,69.66,3,2005,1,9,244000,3503,Vilnius
111,64.0,3,1977,4,5,69000,1078,Klaipeda
112,60.0,2,2020,6,9,174000,2900,Regionas
113,49.0,2,1985,4,5,59600,1216,Kaunas
114,73.9,3,2002,3,5,139000,1881,Vilnius
115,67.0,3,1978,7,12,87000,1299,Klaipeda
116,64.0,3,1991,4,5,72000,1125,Panevezys
117,99.82,4,1983,1,5,85000,852,Siauliai
118,54.72,3,1940,2,3,205000,3746,Vilnius
119,65.16,3,1972,7,9,69500,1067,Klaipeda
120,33.48,1,1975,4,5,42000,1254,Regionas
121,22.04,1,1972,4,5,28500,1293,Klaipeda
122,52.0,2,1984,1,5,18900,363,Regionas
124,59.0,3,1979,1,5,75000,1271,Kaunas
125,44.31,3,1933,2,2,33500,756,Kaunas
126,70.84,3,2012,2,3,142900,2017,Klaipeda
127,59.92,3,2008,7,7,82000,1368,Regionas
128,90.0,3,2006,7,9,250000,2778,Klaipeda
129,34.0,1,1977,3,5,14000,412,Regionas
130,70.0,3,2009,3,6,268000,3829,Vilnius
131,50.0,2,1994,3,4,70000,1400,Palanga
132,70.0,3,2006,1,3,147000,2100,Palanga
133,48.0,2,1983,7,9,64000,1333,Klaipeda
134,11.0,1,1968,5,5,13000,1182,Klaipeda
135,141.0,4,1995,3,3,125000,887,Klaipeda
