Title,Area,Room,Floor,Year,Price
3 kambarių butas Vilniuje,65.00,3,4/9,1980,86 000 € (1 323 €/m²)
2 kambarių butas Vilniuje,38.40,2,4/5,1977,59 000 € (1 536 €/m²)
2 kambarių butas Klaipėdoje,63.00,2,4/5,2011,79 000 € (1 254 €/m²)
3 kambarių butas Klaipėdoje,87.00,3,2/3,1930,179 000 € (2 057 €/m²)
2 kambarių butas Klaipėdoje,52.00,2,5/5,1993,55 000 € (1 058 €/m²)
3 kambarių butas Klaipėdoje,77.80,3,5/5,1989,72 000 € (925 €/m²)
3 kambarių butas Klaipėdoje,70.00,3,2/5,2008,110 000 € (1 571 €/m²)
3 kambarių butas Klaipėdoje,120.00,3,5/5,1957,130 000 € (1 083 €/m²)
2 kambarių butas Klaipėdoje,44.00,2,9/9,1998,43 000 € (977 €/m²)
2 kambarių butas Klaipėdoje,70.00,2,3/5,,95 500 € (1 364 €/m²)
2 kambarių butas Klaipėdoje,50.00,2,8/9,1973,47 000 € (940 €/m²)
2 kambarių butas Klaipėdoje,55.00,2,1/9,1988,66 500 € (1 209 €/m²)
2 kambarių butas Klaipėdoje,52.00,2,4/5,,79 000 € (1 519 €/m²)
3 kambarių butas Klaipėdos rajono sav.,100.00,3,1/2,2021,240 000 € (2 400 €/m²)
2 kambarių butas Klaipėdoje,36.00,2,2/3,1910,55 000 € (1 528 €/m²)
2 kambarių butas Klaipėdoje,49.00,2,3/5,,65 000 € (1 327 €/m²)
2 kambarių butas Klaipėdoje,45.00,2,5/5,1970,55 000 € (1 222 €/m²)
3 kambarių butas Klaipėdos rajono sav.,61.40,3,2/2,2020,147 000 € (2 394 €/m²)
2 kambarių butas Klaipėdoje,46.00,2,3/4,1930,94 900 € (2 063 €/m²)
2 kambarių butas Klaipėdoje,56.00,2,2/5,2008,91 500 € (1 634 €/m²)
4 kambarių butas Klaipėdoje,145.00,4,3/4,1917,149 000 € (1 028 €/m²)
4 kambarių butas Klaipėdoje,89.00,4,9/10,1993,60 000 € (674 €/m²)
4 kambarių butas Klaipėdoje,170.00,4,3/3,1908,159 000 € (935 €/m²)
3 kambarių butas Vilniuje,65.00,3,2/9,,79 500 € (1 223 €/m²)
2 kambarių butas Šiauliuose,52.00,2,9/9,1978,51 900 € (998 €/m²)
2 kambarių butas Vilniuje,49.34,2,1/9,1984,106 000 € (2 148 €/m²)
5 kambarių butas Vilniuje,210.00,5,4/6,1996,550 000 € (2 619 €/m²)
2 kambarių butas Vilniuje,66.00,2,6/7,2007,128 000 € (1 939 €/m²)
3 kambarių butas Vilniuje,62.89,3,5/6,2015,125 000 € (1 988 €/m²)
3 kambarių butas Vilniuje,70.00,3,4/4,2019,219 500 € (3 136 €/m²)
3 kambarių butas Vilniuje,65.00,3,4/9,1980,86 000 € (1 323 €/m²)
2 kambarių butas Vilniuje,38.40,2,4/5,1977,59 000 € (1 536 €/m²)
2 kambarių butas Klaipėdoje,63.00,2,4/5,2011,79 000 € (1 254 €/m²)
3 kambarių butas Klaipėdoje,87.00,3,2/3,1930,179 000 € (2 057 €/m²)
2 kambarių butas Klaipėdoje,52.00,2,5/5,1993,55 000 € (1 058 €/m²)
3 kambarių butas Klaipėdoje,77.80,3,5/5,1989,72 000 € (925 €/m²)
3 kambarių butas Klaipėdoje,70.00,3,2/5,2008,110 000 € (1 571 €/m²)
3 kambarių butas Klaipėdoje,120.00,3,5/5,1957,130 000 € (1 083 €/m²)
2 kambarių butas Klaipėdoje,44.00,2,9/9,1998,43 000 € (977 €/m²)
2 kambarių butas Klaipėdoje,70.00,2,3/5,,95 500 € (1 364 €/m²)
2 kambarių butas Klaipėdoje,50.00,2,8/9,1973,47 000 € (940 €/m²)
2 kambarių butas Klaipėdoje,55.00,2,1/9,1988,66 500 € (1 209 €/m²)
2 kambarių butas Klaipėdoje,52.00,2,4/5,,79 000 € (1 519 €/m²)
3 kambarių butas Klaipėdos rajono sav.,100.00,3,1/2,2021,240 000 € (2 400 €/m²)
2 kambarių butas Klaipėdoje,36.00,2,2/3,1910,55 000 € (1 528 €/m²)
2 kambarių butas Klaipėdoje,49.00,2,3/5,,65 000 € (1 327 €/m²)
2 kambarių butas Klaipėdoje,45.00,2,5/5,1970,55 000 € (1 222 €/m²)
3 kambarių butas Klaipėdos rajono sav.,61.40,3,2/2,2020,147 000 € (2 394 €/m²)
2 kambarių butas Klaipėdoje,46.00,2,3/4,1930,94 900 € (2 063 €/m²)
2 kambarių butas Klaipėdoje,56.00,2,2/5,2008,91 500 € (1 634 €/m²)
4 kambarių butas Klaipėdoje,145.00,4,3/4,1917,149 000 € (1 028 €/m²)
4 kambarių butas Klaipėdoje,89.00,4,9/10,1993,60 000 € (674 €/m²)
4 kambarių butas Klaipėdoje,170.00,4,3/3,1908,159 000 € (935 €/m²)
3 kambarių butas Vilniuje,65.00,3,2/9,,79 500 € (1 223 €/m²)
2 kambarių butas Šiauliuose,52.00,2,9/9,1978,51 900 € (998 €/m²)
2 kambarių butas Vilniuje,49.34,2,1/9,1984,106 000 € (2 148 €/m²)
5 kambarių butas Vilniuje,210.00,5,4/6,1996,550 000 € (2 619 €/m²)
2 kambarių butas Vilniuje,66.00,2,6/7,2007,128 000 € (1 939 €/m²)
3 kambarių butas Vilniuje,62.89,3,5/6,2015,125 000 € (1 988 €/m²)
3 kambarių butas Vilniuje,70.00,3,4/4,2019,219 500 € (3 136 €/m²)
2 kambarių butas Vilniuje,33.21,2,1/4,2019,74 500 € (2 243 €/m²)
2 kambarių butas Klaipėdoje,66.00,2,5/5,1987,64 000 € (970 €/m²)
3 kambarių butas Vilniuje,58.78,3,2/2,1940,62 000 € (1 055 €/m²)
3 kambarių butas Klaipėdoje,78.00,3,2/5,,65 000 € (833 €/m²)
1 kambario butas Klaipėdoje,30.00,1,8/9,1978,30 000 € (1 000 €/m²)
2 kambarių butas Vilniuje,40.50,2,4/5,2020,66 000 € (1 630 €/m²)
1 kambario butas Klaipėdoje,44.00,1,5/5,1989,40 000 € (909 €/m²)
2 kambarių butas Klaipėdoje,54.00,2,1/9,1988,66 500 € (1 231 €/m²)
3 kambarių butas Vilnius,66.00,3,1/1,2020,60 000 € (909 €/m²)
3 kambarių butas Vilnius,76.00,3,3/5,2019,122 000 € (1 605 €/m²)
2 kambarių butas Vilnius,51.00,2,3/5,2019,83 000 € (1 627 €/m²)
1 kambario butas Vilnius,32.00,1,3/5,2019,54 000 € (1 688 €/m²)
1 kambario butas Vilniuje,26.00,1,1/3,2019,54 000 € (2 077 €/m²)
1 kambario butas Vilniuje,28.76,1,4/5,1966,55 000 € (1 912 €/m²)
3 kambarių butas Vilniuje,64.90,3,1/3,1976,90 000 € (1 387 €/m²)
1 kambario butas Klaipėdoje,37.00,1,2/3,1957,67 770 € (1 832 €/m²)
4 kambarių butas Klaipėdoje,95000.00,4,1/2,2021,95 000 € (1 €/m²)
3 kambarių butas Šiauliuose,94.32,3,3/4,1958,110 000 € (1 166 €/m²)
2 kambarių butas Klaipėdoje,64.00,2,7/20,2008,100 000 € (1 563 €/m²)
1 kambario butas Klaipėdoje,16.00,1,1/5,1989,20 800 € (1 300 €/m²)
2 kambarių butas Klaipėdoje,64.00,2,4/4,2014,240 000 € (3 750 €/m²)
1 kambario butas Klaipėdoje,16.00,1,1/3,1968,20 000 € (1 250 €/m²)
1 kambario butas Klaipėdoje,28.00,1,4/5,1969,39 000 € (1 393 €/m²)
2 kambarių butas Klaipėdoje,42.00,2,5/5,1988,33 000 € (786 €/m²)
3 kambarių butas Klaipėdos rajono sav.,59.49,3,7/7,2020,65 300 € (1 098 €/m²)
1 kambario butas Klaipėdoje,30.00,1,4/5,1972,45 000 € (1 500 €/m²)
2 kambarių butas Vilniuje,43.44,2,3/4,2020,162 500 € (3 741 €/m²)
3 kambarių butas Klaipėdoje,51.00,3,3/4,1964,55 000 € (1 078 €/m²)
2 kambarių butas Vilniuje,51.55,2,3/5,2003,115 000 € (2 231 €/m²)
4 kambarių butas Klaipėdos rajono sav.,74.00,4,2/3,1964,60 000 € (811 €/m²)
1 kambario butas Klaipėdoje,30.00,1,2/5,1990,58 000 € (1 933 €/m²)
3 kambarių butas Klaipėdoje,78.67,3,2/5,,67 000 € (852 €/m²)
1 kambario butas Šiauliuose,29.00,1,3/5,1971,26 500 € (914 €/m²)
2 kambarių butas Vilniuje,36.98,2,5/6,1987,49 900 € (1 349 €/m²)
3 kambarių butas Klaipėdoje,52.58,3,2/2,1990,93 000 € (1 769 €/m²)
2 kambarių butas Palangoje,54.00,2,1/4,1989,55 000 € (1 019 €/m²)
1 kambario butas Klaipėdoje,36.35,1,2/4,2019,89 999 € (2 476 €/m²)
1 kambario butas Klaipėdoje,44.00,1,3/9,1990,49 000 € (1 114 €/m²)
3 kambarių butas Vilniaus rajono sav.,62.00,3,1/2,1965,88 000 € (1 419 €/m²)
2 kambarių butas Klaipėdoje,49.50,2,1/4,2020,95 000 € (1 919 €/m²)
1 kambario butas Klaipėdoje,36.90,1,9/13,1975,70 000 € (1 897 €/m²)
2 kambarių butas Klaipėdoje,90.00,2,2/2,2017,107 000 € (1 189 €/m²)
2 kambarių butas Vilniuje,55.20,2,3/5,1972,76 000 € (1 377 €/m²)
2 kambarių butas Šiauliuose,28.57,2,3/4,,14 999 € (525 €/m²)
2 kambarių butas Klaipėdoje,54.53,2,1/9,1988,66 500 € (1 220 €/m²)
3 kambarių butas Vilniuje,76.00,3,1/4,2014,185 000 € (2 434 €/m²)
2 kambarių butas Šiauliuose,34.00,2,2,1985,12 500 € (368 €/m²)
5 kambarių butas Elektrėnų sav.,102.00,5,3/3,2008,135 000 € (1 324 €/m²)
3 kambarių butas Klaipėdoje,78.00,3,3/4,2011,114 000 € (1 462 €/m²)
1 kambario butas Vilniuje,33.00,1,3/5,1969,73 900 € (2 239 €/m²)
3 kambarių butas Vilniuje,69.66,3,1/9,2005,244 000 € (3 503 €/m²)
3 kambarių butas Klaipėdoje,64.00,3,4/5,1977,69 000 € (1 078 €/m²)
2 kambarių butas Šventojoje,60.00,2,6/9,2020,174 000 € (2 900 €/m²)
2 kambarių butas Kaune,49.00,2,4/5,1985,59 600 € (1 216 €/m²)
3 kambarių butas Vilniuje,73.90,3,3/5,2002,139 000 € (1 881 €/m²)
3 kambarių butas Klaipėdoje,67.00,3,7/12,1978,87 000 € (1 299 €/m²)
3 kambarių butas Panevėžyje,64.00,3,4/5,1991,72 000 € (1 125 €/m²)
4 kambarių butas Šiauliuose,99.82,4,1/5,1983,85 000 € (852 €/m²)
3 kambarių butas Vilniuje,54.72,3,2/3,1940,205 000 € (3 746 €/m²)
3 kambarių butas Klaipėdoje,65.16,3,7/9,1972,69 500 € (1 067 €/m²)
1 kambario butas Vilniaus rajono sav.,33.48,1,4/5,1975,42 000 € (1 254 €/m²)
1 kambario butas Klaipėdoje,22.04,1,4/5,1972,28 500 € (1 293 €/m²)
2 kambarių butas Švenčionių rajono sav.,52.00,2,1/5,1984,18 900 € (363 €/m²)
2 kambarių butas Tauragės rajono sav.,47.00,2,1/4,,9 500 € (202 €/m²)
3 kambarių butas Kaune,59.00,3,1/5,1979,75 000 € (1 271 €/m²)
3 kambarių butas Kaune,44.31,3,2/2,1933,33 500 € (756 €/m²)
3 kambarių butas Klaipėdoje,70.84,3,2/3,2012,142 900 € (2 017 €/m²)
3 kambarių butas Klaipėdos rajono sav.,59.92,3,7/7,2008,82 000 € (1 368 €/m²)
3 kambarių butas Klaipėdoje,90.00,3,7/9,2006,250 000 € (2 778 €/m²)
1 kambario butas Švenčionių rajono sav.,34.00,1,3/5,1977,14 000 € (412 €/m²)
3 kambarių butas Vilniuje,70.00,3,3/6,2009,268 000 € (3 829 €/m²)
2 kambarių butas Palangoje,50.00,2,3/4,1994,70 000 € (1 400 €/m²)
3 kambarių butas Palangoje,70.00,3,1/3,2006,147 000 € (2 100 €/m²)
2 kambarių butas Klaipėdoje,48.00,2,7/9,1983,64 000 € (1 333 €/m²)
1 kambario butas Klaipėdoje,11.00,1,5/5,1968,13 000 € (1 182 €/m²)
4 kambarių butas Klaipėdoje,141.00,4,3/3,1995,125 000 € (887 €/m²)
3 kambarių butas Klaipėdoje,96.00,3,4/6,2005,135 000 € (1 406 €/m²)
3 kambarių butas Klaipėdoje,65.00,3,1/5,2009,109 000 € (1 677 €/m²)
2 kambarių butas Radviliškio rajono sav.,46.82,2,2/2,1970,6 900 € (147 €/m²)
3 kambarių butas Klaipėdoje,85.00,3,4/5,2013,128 000 € (1 506 €/m²)
3 kambarių butas Vilniuje,70.00,3,3/6,2009,268 000 € (3 829 €/m²)
4 kambarių butas Klaipėdoje,170.00,4,3/3,1928,159 000 € (935 €/m²)
3 kambarių butas Klaipėdoje,65.00,3,3/5,1994,65 000 € (1 000 €/m²)
1 kambario butas Klaipėdoje,54.00,1,9/13,2005,69 000 € (1 278 €/m²)
2 kambarių butas Klaipėdoje,54.00,2,9/13,2005,69 000 € (1 278 €/m²)
2 kambarių butas Klaipėdoje,62.00,2,5/5,1987,60 000 € (968 €/m²)
2 kambarių butas Klaipėdoje,60.83,2,2/5,2007,80 000 € (1 315 €/m²)
3 kambarių butas Vilniuje,127.00,3,3/4,2007,740 000 € (5 827 €/m²)
2 kambarių butas Klaipėdoje,42.00,2,1/5,2019,114 000 € (2 714 €/m²)
2 kambarių butas Kretingos rajono sav.,47.00,2,1/5,,40 000 € (851 €/m²)
4 kambarių butas Vilniuje,145.23,4,2/4,2021,522 828 € (3 600 €/m²)
4 kambarių butas Vilniuje,123.14,4,3/4,2021,480 246 € (3 900 €/m²)
4 kambarių butas Vilniuje,112.24,4,1/4,2021,370 392 € (3 300 €/m²)
4 kambarių butas Vilniuje,112.22,4,2/4,2021,403 992 € (3 600 €/m²)
4 kambarių butas Vilniuje,123.09,4,2/4,2021,436 970 € (3 550 €/m²)
2 kambarių butas Klaipėdoje,58.00,2,5/12,2011,113 000 € (1 948 €/m²)
2 kambarių butas Druskininkų sav.,93.00,2,1/3,1980,92 000 € (989 €/m²)
2 kambarių butas Vilniuje,56.00,2,1/5,1957,170 000 € (3 036 €/m²)
3 kambarių butas Šiauliuose,110.46,3,3/5,1995,99 500 € (901 €/m²)
2 kambarių butas Klaipėdoje,40.00,2,2/3,2016,99 900 € (2 498 €/m²)
3 kambarių butas Vilniuje,63.40,3,9/9,1975,89 000 € (1 404 €/m²)
3 kambarių butas Vilniuje,89.86,3,2/3,1990,165 000 € (1 836 €/m²)
1 kambario butas Klaipėdoje,43.00,1,9/9,1987,49 000 € (1 140 €/m²)
2 kambarių butas Klaipėdoje,44.00,2,1/9,,47 500 € (1 080 €/m²)
5 kambarių butas Vilniuje,95.93,5,3/3,2021,279 000 € (2 908 €/m²)
3 kambarių butas Vilniuje,60.61,3,2/5,1968,68 000 € (1 122 €/m²)
2 kambarių butas Vilniuje,66.26,2,1/7,2003,114 000 € (1 720 €/m²)
2 kambarių butas Vilniuje,45.36,2,4/6,2013,103 000 € (2 271 €/m²)
2 kambarių butas Vilniuje,54.03,2,9/9,2021,95 000 € (1 758 €/m²)
3 kambarių butas Vilniuje,70.00,3,4/4,2017,219 000 € (3 129 €/m²)
5 kambarių butas Vilniuje,154.00,5,1/2,1995,162 000 € (1 052 €/m²)
5 kambarių butas Vilniuje,217.00,5,2/2,1995,162 000 € (747 €/m²)
1 kambario butas Vilniuje,21.25,1,6/9,1983,48 500 € (2 282 €/m²)
3 kambarių butas Panevėžys,64.06,3,3/5,1979,45 700 € (713 €/m²)
2 kambarių butas Klaipėdoje,55.00,2,2/9,1990,59 000 € (1 073 €/m²)
1 kambario butas Panevėžyje,36.00,1,5/5,1990,28 500 € (792 €/m²)
1 kambario butas Klaipėdoje,30.00,1,2/5,,58 000 € (1 933 €/m²)
2 kambarių butas Palangoje,49.00,2,2/3,2017,178 000 € (3 633 €/m²)
2 kambarių butas Vilniuje,49.69,2,3/3,2021,159 800 € (3 216 €/m²)
3 kambarių butas Vilniuje,65.65,3,3/3,2021,197 000 € (3 001 €/m²)
4 kambarių butas Vilniuje,72.94,4,2/3,2021,241 000 € (3 304 €/m²)
2 kambarių butas Vilniuje,45.00,2,5/6,2010,489 € (11 €/m²)
2 kambarių butas Panevėžyje,40.00,2,1/3,,38 000 € (950 €/m²)
3 kambarių butas Vilniuje,65.00,3,3/9,2017,97 000 € (1 492 €/m²)
2 kambarių butas Utenos rajono sav.,54.50,2,1/2,,17 000 € (312 €/m²)
3 kambarių butas Šiauliuose,78.00,3,2/12,1978,79 000 € (1 013 €/m²)
